"Devotional Song Lyrics
",Devotional Song Meaning
"Eshwar Allah Ek Tum Hi Ho
Karuna Sindho Ram
Deena (Bhaktha) Janon Ke Jeevan Saharey
Daya (Mujhey Krupa) Karo Bhagawan
Karuna Sagara Dayabhi Rama
Jai Sai Ram Bolo Jai Sai Ram (2)
","Eshwara (refers to God in Hinduism) and Allah (God in Islam) are both one and the same. The name refers to the same Almighty. Oh Rama, You shower on us the compassion You are the refuge to the destitutes You are the refuge and saviour to the devotees Oh Bhagawan, Shower Your compassion on me Oh Merciful Rama, You are the ocean of Compassion.
"
"Eshwar Allah Terey Naam Sai Terey Naam
Sarva Dharma Priya Sai Ram Sathya Sai Ram
Allah Sai Maulah Sai
Yesu Buddha Sai Hey Mahaveer Sai
Govinda Sai Gopala Sai Nanak Sai |Sarva Dharma|
","Oh Lord Sai, Eshwara is your name, so is the name Allah, yours. (The names Eshwar and Allah, both reach you Oh Lord Sai) Oh Sathya Sai Rama, you are fond of all the faiths You are Allah and You are Maulah. Oh Sai, You are Jesus Christ, Buddha, Mahaveer. Oh Sai, You are Govinda, Gopala, Guru Nanak. Oh Sathya Sai, you are fond of all the faiths. (All the Faiths lead to you)
"
"Eshwara Allah Tero Naam Eshwari Nandana Sai Ram
Krishna Christhu Tero Naam Karuna Sagara Sai Ram
Rama Raghava Terey Naam Shirdi Pureeshwara Sai ram
Krishna Keshava Tero Naam Karuna sagara Sai Shyam
","You are adored as Eshwar and Allah. You are Sai Ram the son of mother Eshwaramba, the ocean of compassion. You are also worshipped as Krishna, Christ, Sai Baba (resident of Shirdi), Shyama and Keshava.
"
"Eshwaramba Nandana Jagat Vidhata
Parthi Nivasa Sai Deva Daya Karo Guru Deva (Hey)
Kamala Nayana Hey Hrudaya Vihari
Ananda Dayaka Hey Giridhari
Charan Sharan Mey Lelo Hum Ko
Yuga Avatara Sai Murari |Parthi Nivasa|
","Son of Eshwaramba, Sai Baba, creator of the universe, dweller of Puttaparthi, noble Lord and Teacher, Oh lotus-eyed One, indweller of devotees' hearts, Oh Sai Krishna, incarnation of this age, bestow Thy Grace on us, make us merge in You.
"
"Eshwaramba Nandana Niranjana Namo Namo
Sarva Devatha Athita Swaroopa Namo Namo |Eshwaramba|
Bhaktha Hrudaya Vasa Bhaktha Chintana Namo Namo
Sarva Loka Nayaka Sanathana Namo Namo
Sayeeshwara Namo Namo Sarveshwara Namo Namo (3)
","Salutation to thee Oh Sayeeshwara, the son of mother Eshwaramba, who is pure and spotless. You are the embodiment of all forms of Gods, the indweller of the heart, brooding always the welfare of devotees. O supreme Lord of all worlds, we bow unto you.
"
"Eshwaramba Nandana Sai
Shirdi Parthi Prema Sai
Vishwa Kalyana Karana Sai
Shashwata Ananda Dayi Sai
","Oh Sai, you are the darling of Eshwaramba. You are the beloved of the people of Shirdi and Parthi. You are the cause of universal welfare and goodness. You are the bestower of perpetual bliss.
"
"Eshwaramba Nandana Sai Janardhana
Parthi Pureeshwara Sai Guru Deva
Sai Guru Deva Sai Guru Deva
Mangala Dayaka Sai Guru Deva
Munijana Mohana Madhava Sai
Prashanthi Nilaya Deva |Parthi Pureeshwara...|
","Salutations to you Oh Lord Sai, residing in Prashanthi Nilayam, Oh son of Eshwaramba, you bestow auspiciousness and you are worshipped by sages.
"
"Eshwaramba Priya Nandana
Sai Jaya Jaga Vandana (2) |Eshwaramba|
Ratnakara Kula Bhooshana
Rajeeva Nayana Narayana
Narayana Hari Narayana
Narayana Sai Narayana
Narayana Hari Narayana (3) (Narayana Sai Narayana)
","You are the beloved Son of Eshwaramba. You are worshipped by the whole world. You are the jewel of the Ratnakara clan. You have beautiful eyes. Oh Sai you are Hari, Narayana.
"
"Eshwaramba Priya Tanaya
Esha Mahesha Sri Sayeesha
Yuga Avatara Sayeesha
Leelavatara Sayeesha
Poornavatara Sayeesha (Pari)
","Loving son of Eshwaramba, Lord Mahesha, Sri Sai! The Avatar of the Kali Age, the Avatar who is full of play (Leela), the Avatar in His complete glory!
"
"Eshwaramba Priya Tanaya Sai Narayana
Sai Narayana Sathya Narayana |Eshwaramba...|
Kali Yug Mey Avatar Liye
Kan Kan Mey Tera Naam (O Sai) (2)
","Oh Lord Narayana, You are the beloved son of Mother Eshwaramba, to whom you are Sai Narayana. You have incarnated in this present Kali Age as our Lord Sathya Narayana You are all pervading and your name is present in every atom.
"
"Eshwari Nandana Parthi Gajanana
Pranava Swaroopa Paahi Prabho
Omkaareshwara Uma Maheshwara
Parthi Pureeshwara Palaya Maam
","Oh Gajanana of Parthi, the son of mother Eshwaramba and embodiment of primordial sound, protect us. You are adored as Maheshwara, the consort of Uma and the resident of Omkaareshwara and Parthi. Please protect and sustain us.
"
"Eshwari Nandana Sai Gopala
Hey (Sai) Madhusudhana Krishna Krishna
Jagadodhara Parthi Vihara
Prema Swaroopa PremAvatara
Dwarakamayi Sri Sathya Sai
Hey (Sai) Madhusudhana Krishna Krishna
","Oh Sai, Son of Eshwaramba, Our Sai Gopala Oh Lord Krishna, the destroyer of the demon Madhu Oh Lord who resides in Parthi, you have come to uplift the whole world You are the very embodiment of Love and the incarnation of Love. Oh Lord Sai, who was the Lord Krishna of Dwaraka You enchant the entire world and you are loved by the entire world.
"
"Eshwari Tanaya Esha Mahesha
Shambho Shankara Sadashiva
Parthi Pureesha Hey Paramesha
Sharanam Sharanam Partheeshwara
Sharanam Sharanam Sayeeshwara (2)
","Oh Lord Mahesha (Shiva), who has incarnated as the son of mother Eshwaramba, the embodiment of bliss and auspiciousness. You are the supreme Lord of Parthi. We surrender unto your lotus feet, Oh Sayeeshwara.
"
"Gaana Lola Gopala
Sai Manohara Gopala |Gaana|
Jagadodhara Parthi Vihara
Meera Ke Prabhu Giridhara Bala
","Chant the name Gopala, who is engrossed in divine music. You are Sai having captivating form, who sustains the universe and who rambles in Parthi. You are Meera's little Krishna, who lifted the mighty mountain on your finger tips.
"
"Gaana Priyey Sai Karunamayi
Kadambari Amba Katyayani |Gaana Priyey...|
Hari Vallabhey Sukha Dayini
Omkaara Roopini Narayani
Bhuvaneshwari (Amba) Jaganmohini
Sri Chakra Vasini Sayeeshwari
","The Merciful Mother Sai is delighted by Music Chant the names of the Deities Kadambari, Amba and Katyayani (different names of Goddess Parvathi) Oh Goddess Lakshmi, the beloved of Lord Hari (Vishnu), you are the bestower of happiness and all comforts Oh Goddess Narayani, You are the primal form of Om You are the Goddess of the entire world and the one who beautifies the world. Oh Sayeeshwari, the one living in Sri Chakra.
"
"Gajamukha Gajamukha Gajanana
Gowri Nandana Gajanana |Gajamukha...|
Girija Nandana Gajanana
Girisha Nandana Gajanana
","Sing the glory of Gajamukha (elephant headed) god, the son of Gowri, the beloved of Girija and Shiva who is the Lord of the mountains.
"
"Gajamukha Gajamukha Gananatha
Suramuni Vanditha Guna Sheela |Gajamukha...|
Suramuni Vanditha Guna Sheela
Gajamukha Gajamukha Gananatha |Suramuni|
","We chant the glory of Gajamukha, who is the leader of Ganas (demigods) and who is worshipped by Lords and Saints. You are the embodiment of virtues.
"
"Gajanana Gajanana
Parthi Pureeshwara Sai Gajanana |Gajanana...|
Parvathi Nandana Varada Gajanana
Parama Dayakara Sai Gajanana
","Oh Ganesha, The Lord with Elephant-face Oh Sai Gajanana, you are the Lord of Parthi. Oh Son of Mother Parvathi, You are the conferrer of boons Oh Sai Gajanana, you are supreme compassionate.
"
"Gajanana Gajanana
Parthi Pureeshwara Sai Gajanana |Gajanana...|
Parvathi Nandana Varada Gajanana
Parama Dayakara Sai Gajanana
","Oh Ganesha, The Lord with Elephant-face Oh Sai Gajanana, you are the Lord of Parthi. Oh Son of Mother Parvathi, You are the conferrer of boons Oh Sai Gajanana, you are supreme compassionate.
"
"Gajanana Hey Gajanana
Gowri Tanaya Gajanana |Gajanana|
Hey Shiva Nandana Jaya Jaga vandana
Vidya Buddhi Pradayaka
Parama Niranjana Mooshika Vahana
Parthi Pureeshwara Gajanana
","Gajanana (Ganesha), son of Gowri (Parvathi) ; Oh Son of Shiva, Victory to the One who is revered by the whole world; You are the one who bestows knowledge and intelligence; Hey Gajanana, You are the supreme one who has mouse as his vehicle and you are the Lord of Puttaparthi.
"
"Gajanana Hey Shubhanana
Gowri Manohara Priya Nandana
Pashupathi Tanaya Gajanana
Parama Niranjana Shubhanana (Hey)
","Oh Auspicious Elephant -Faced Lord! You are loving son of Mother Gowri Thou art the beloved son of Lord Shiva, who is the Lord of all creatures. You are supreme, pure and free of all blemishes Oh Lord Ganesha.
"
"Gajanana Hey Shubhanana
Gowri Manohara Priya Nandana
Pashupathi Tanaya Gajanana
Parama Niranjana Shubhanana (Hey)
","Oh Auspicious Elephant -Faced Lord! You are loving son of Mother Gowri Thou art the beloved son of Lord Shiva, who is the Lord of all creatures. You are supreme, pure and free of all blemishes Oh Lord Ganesha.
"
"Gajananam Girija Tanayam
Gangadhara Shiva Kumaram Devam |Gajananam...|
Suramuni Sevitha Charanam Sharanam
Sada Smarami Sai Sharanam
","We adore the Lord Gajanana (elephant headed god), the loving son of Girija and Shiva (who adorns the Ganges). We bow to your feet, which is worshipped by Gods and saints. We dwell on your divine form always.
"
"Gajavadana Gajanana
Gowri Tanaya Gajanana |Gajavadana...|
Jai Jai Jai Jai Gajanana (3)
Devadi Deva Gajanana |Gowri Tanaya|
","Victory to the Lords of Lords, Lord Gajanana, The Elephant faced Lord, The beloved son of Mother Gowri. Chant the name of the Elephant -Faced Lord, Gajanana.
"
"Gajavadana Gananatha
Gowri Tanaya Dayamaya |Gajavadana...|
Bhuvana Dhara Pranava Swaroopa
Paalaya Paalaya Parthi Pureesha
","Oh Lord Ganesha, the Elephant-faced Lord O Son of Mother Parvathi, You are extremely compassionate Oh The one whose form is the Pranava and who is the sustainer of the entire creation, Protect us Oh Lord of Parthi.
"
"Gajavadana Gananatha Gajavadana Deena Natha
Siddhi Daata Shiva Tanaya
Buddhi Pradayaka Gajanana
Parvathi Nandana Bhava Bhaya Bhanjana
Yuga Yuga Vanditha Jaya Sri Ganesha
","Worship the Elephant -Faced Gajanana, the Lord of the Demigods. The Prince of Lord Shiva who can bestow all the Siddhis and the intellectual prowess. O Son of Mother Parvathi, you remove the fear of the cycle of birth and death and help cross it. Victory to Lord Ganesha, who is worshipped to and prayed to in all ages (yugas)
"
"Gajavadana Gananatha Natha
Gowri Vara Tanaya Gunaalaya |Gajavadana...|
Vidya Dayaka Buddhi Pradayaka
Siddhi Vinayaka Hey Shubha Dayaka
","O Elephant -Faced Lord! You are the Lord of the Divine Forces O Beloved son of Mother Gowri. You are full of Virtues O Lord who grants us knowledge, intelligence and wisdom O Lord of all Siddhis, you are the conferrer of all auspiciousness.
"
"Gajavadana Gananatha Natha
Gowri Vara Tanaya Gunaalaya |Gajavadana...|
Vidya Dayaka Buddhi Pradayaka
Siddhi Vinayaka Hey Shubha Dayaka
","O Elephant -Faced Lord! You are the Lord of the Divine Forces O Beloved son of Mother Gowri. You are full of Virtues O Lord who grants us knowledge, intelligence and wisdom O Lord of all Siddhis, you are the conferrer of all auspiciousness.
"
"Gananatha Gananatha
Mooshika Vahana Jaya Gananatha
Sharanam Sharanam Gajanana |Gananatha|
Siddhi Vinayaka Gananatha
Buddhi Pradayaka Gananatha
Jagadodhara Jaya Gananatha |Sharanam|
","Oh Lord of Lords, Oh Ganesha Victory to the Lord whose vehicle is a mouse (Symbolises Cleverness) We surrender to the Lotus feet of Gajanana You are the bestower of all siddhis and success and intellectual prowess Oh Lord Gananatha, who is the sustainer of the entire creation, we surrender at your Lotus Feet.
"
"Gananatha Sai Gajanana
Partheeshwara Dukha Bhanjana |Gananatha...|
Kailasa Pathey Shiva Nandana Deena Natha Harey Hey Niranjana
Siddhi Pradatha Shubhanana Jagadeeshwara Shanthi Niketana
Jagadeeshwara Shanthi Niketana
","Oh Lord Ganesha, The Lord of all Ganas (Demigods) Oh Lord of Parthi, you relieve us of all anxieties and sadness. Oh The Son of Shiva (the Lord of Kailasa), who are the embodiment of purity and the Lord of destitutes. Oh Granter of all the siddhis and prowess, The one whose face radiates goodness Oh Sustainer of the whole world and the abode of all peace.
"
"Gananatha Vighna Vinashaka Gananatha
Gananatha Gananatha
Bhaktha Pala Vara Dayaka
Karunakara Shubha Dayaka
Siddhi Vinayaka Chandana Tilaka
Sharanam Sharanam Bhaktha Rakshaka
","Oh Gananatha, you are the destroyer of all obstacles, protector and sustainer of your devotees, bestower of boons. Oh compassionate one, you are the bestower of auspiciousness. You are the almighty with supreme powers adorned with a symbol made of Sandal paste. We bow to you. Oh protector of devotees.
"
"Gananayakam Ganeshwaram (Sai)
Gowri Tanaya Gajananam |Gananayakam...|
Mooshika Vahana Sri Gananatham
Paashankushadhara Bala Gajananam
Ananda Tandava Narthana Ganapathim
Vinayakam Vimalacharam Vighneshwaram
","Oh Lord Ganesh, you are the leader of demigods, beloved son of Gowri who rides the mouse. You hold the noose and hook in your hands and is the delightful cosmic dancer having a spotless form. You are all supreme Lord who removes all our obstacles.
"
"Gananayakam Sai Gananayakam Sadananda Sundara Gananayakam Vara Dayakam Sai Shubha Dayakam Parthi Pureeshwara Gananayakam
","Oh Ganesha, The Lord of the Ganas, the Demigods You are eternally blissful and most beautiful. You bestow various boons and confer all auspiciousness. O Lord of Lords, you have Parthi as your residence.
"
"Ganapathey Paahi Maha Mathey
Gnana Swaroopa Namostuthey
Pankaja Charana Daya Nidhey
Mangala Kara Hey Krupa Nidhey
Sapta Swarapathi Vidya Pathey
Sayeeshwara Twam Suguna Nidhey
","Lord Ganapathi, the highly intellectual one, protect us. Salutations to thee, the embodiment of knowledge. You are the treasure house of compassion with a lotus feet. You are the master of all forms of knowledge and music. Oh Sayeeshwara you are the reserve of divine qualities.
"
"Ganapathi Om Jaya Ganapathi Om
Gajamukha Varada Ganapathi Om
Mooshika Vahana Gajanana
Modaka Hasta Gajanana
Parama Niranjana Gajanana
Paada Namasthey Gajanana
","Glory to thee, OH Ganesha, the elephant faced one, the bestower of boons, the one who has mouse as his vehicle, the one who has Modaka (a sweet preparation) in His hand, The one who is supremely pure, Oh Gajanana, I offer obeisance at your Lotus feet.
"
"Ganesha Charanam Parama Pavanam Sathya Sainam Gajananam
Nithya Smaranam Parama Pavanam Sathya Sainam Gajananam
Sadguru Charanam Parama Pavanam Sathya Sainam Gajananam
Bhava Bhaya Haranam Parama Pavanam Sathya Sainam Gajananam
","Let us bow in reverence to Lord Ganesha, Lets bow in absolute purity to the name of Sai, to the elephant faced Ganesha Constantly remember the purifying name of Sai, Remember Lord Ganesha, the elephant-faced one. The sacred feet of Sadguru are purifying, so is the name of Sai and Ganesha All the fears of the cycle of birth and death are removed by the remembrance of the name of Sai and Ganesha, the elephant faced Lord.
"
"Ganesha Sharanam Sharanam Ganesha (4)
Sayeesha Sharanam Sharanam Sayeesha (4)
","Surrender to the Lotus Feet of Lord Ganesh. Surrender to the Lotus Feet of Lord Sayeesha.
"
"Ganeshwara Ganadhipa
Vighneshwara Vinayaka |Ganeshwara...|
Nirvikalpa Niramaya
Gunaatheetha Niranjana
Bhava Bhanjana Manoranjana
","Oh Ganesh (elephant headed god) you are the Lord and chief of Ganas (demigods), remover of obstacles, all supreme. You exist in the thoughtless and pure mind. You are attribute less and spotless who delights the mind and destroys the worldly miseries.
"
"Ganga Jatadhara Gowri Shankara Girija Mano Ramana
Jaya Mruthyunjaya Mahadeva Maheshwara Mangala Shubha Charana
Nandi Vahana Naga Bhooshana
Nirupama Guna Sadana
Natana Manohara Neelakanta Sai
Neeraja Dala Nayana
","Oh Lord Shankara, Bearer of the Holy Ganges in his hair and whose consort is Goddess Girija, born of the mountains. Glory to the Lord, who is the Lord of Lords and who has conquered death and whose feet confer auspiciousness. You have Snake as ornament and bull Nandi as vehicle You are the source of all pure sacred virtues Hail the Lord who enchants the mind with his dance, Oh blue-throated Sai, whose eyes are like the petals of a lotus flower.
"
"Gangadhara Girija Ramana
Shambho Shankara Samba Sadashiva |Gangadhara...|
Hara Hara Shiva Shiva Sai Shankara
Shiva Shiva Shiva Shiva Shirdi Pureeshwara
","Chant the holy name of Shiva who adorns the Ganges in his matted flock of hair, who is the beloved of Girija. Chant the holy names Shambho, Shankara, Samba Sadashiva (one who bestows auspiciousness and happiness) who is also the Lord of Shirdi and Parthi.
"
"Gangadhara Gowri Mahesha
Tripurantaka Jyothi Prakasha
Haalaahala Dhara Paramesha
Chandrashekara Sai Mahesha
","This is a Bhajan in praise of Lord Shiva--The one who bears the Ganges and the Moon on his head. He destroys the demon ""Tripura"" (who symbolises the darkness within us) and illumines us. He is the ultimate Lord who drank the deadly poison of ""Haalaahala"" for the welfare of the world during ""Samudra Manthan"" (churning of the ocean). He is also our Lord Sai Mahesha
"
"Gangadhara Hara Gangadhara Hara Kailasa Natha Prabhu Shankara
Bhava Nasha Bhava Bandha Vimochana
Sathya Sai Shiva Shankara
","We praise the Lord Sathya Sai Shiva Shankara-The One who is Auspicious, Captivating-The One who bears the Ganges on his head, One who is the Lord of the mountain 'Kailasa' and the One who liberates us from the bondage of the world and prevents us from taking birth again and again.
"
"Gangadhara Hara Gowri Shiva
Shambho Shankara Samba Shiva
Brahma Vishnu Parameshwara Roopa
Bhaktha Jana Priya Sai Krupala
Samba Shiva Sai Shiva (2)
","Glory to the Lord Sathya Sai Shiva, who is the very form and embodiment of the Trinity--Brahma, Vishnu and Parameshwara He bears the ganges on his head, is very attractive and compassionate, confers happiness and prosperity and is very dear to all his devotees.
"
"Gangadhara Hara Gowri Shiva
Shambho Shankara Samba Shiva
Brahma Vishnu Parameshwara Roopa
Bhaktha Jana Priya Sai Krupala
Samba Shiva Sai Shiva (2)
","Glory to the Lord Sathya Sai Shiva, who is the very form and embodiment of the Trinity--Brahma, Vishnu and Parameshwara He bears the ganges on his head, is very attractive and compassionate, confers happiness and prosperity and is very dear to all his devotees.
"
"Gangadhara Hara Samba Sadashiva
Sai Naam Sukha Dayi Naam
Aao Aao Hey Bhagawan
Prakat Huvey The Tum Shirdi Mey
Prakat Huvey Ho Ab Parthi Mey
Vibhuti Sundara Sai Ram |Aao Aao|
","Here we are calling on the Divine, Effulgent Lord to give his Darshan The Lord who is the Eternal Lord of the Divine Cosmos, One who has the Ganges on his head One whose name itself gives so much happiness Oh Lord You appeared in Shirdi Now You have appeared in Parthi O Divinely beautiful Lord Sairam Come come Oh Effulgent Lord.
"
"Gangadhara Hara Shiva Shambho
Vibhuti Sundara Sai Shambho
Om Hara Hara Hara Hara Shambho
Haalaahala Dhara Shiva Sai Shambho
","This is a prayer to Lord Shiva who Has the river Ganges on His head; Who has Vibhuti all over His body; Who swallowed the deadly poison (Haalaahala) ; Who is also our Lord Sai.
"
"Gangotri Natha Ganga Shiva
Shambho Mahadeva Samba Shiva
Ganga Jatadhara Gowri Shiva
Sugandha Kuntalamba Sametha Shiva
Matrubhuteshwara Mahadeva
Bhaktha Samrakshaka Jeeveshwara
Shiva Shakthi Roopa Sayeeshwara
Gangotri Natha Ganga Shiva (3)
","Chant the name of Shiva who adorns the Ganges, who is also the Lord of Gangotri and whose other names are Shambho, Mahadeva and Samba Shiva. You are the consort of Gowri or Kuntalamba (one who has naturally fragrant hair). You are the Lord of mighty earth, protecting indweller of devotees. You are Sayeeshwara who is the embodiment of Shiva and Parvathi.
"
"Garuda Vahana Narayana
Hey Shesha Shayana Narayana |Garuda Vahana...|
Sri Lakshmi Ramana Narayana
Hari Om Hari Om Narayana
","We sing in praise of the Lord Narayana, who is the beloved of his consort Goddess Lakshmi, whose vehicle is Garuda, who sleeps on the serpent (also known as ""Adishesha""-who incarnated as Lakshmana - Rama's brother) and who is also know as Hari
"
"Ghana Ghana Neela Bansi Adhariya
Madhura Madhura Smitha Vadana Savariya
Ghana Ghana Neela
Mora Mukuta Peetambara Gatiya
Jhumaka Jhumaka Jhuma Bhaja Ghungharia
","We are here worshipping Lord Krishna and describing His beautiful form He has the body of thick blue colour, with the flute on His lips, gentle smile on His bluish face, peacock feather as his crown, the yellow cloth on his hip and his anklets making pleasant sound.
"
"Ghana Ghana Neela Om Shivaya
Om Shivaya Om Shivaya |Ghana Ghana...|
Shivaya Namah Om Sai Shiva
Sai Shiva Sai Shiva |Shivaya Namah|
Sai Shiva Hara Sai Shiva
","Chant the divine name Om Shivaya, whose throat is dark blue in colour (due to consumption of deadly poison). And obeisance to Lord Sai Shiva.
"
"Ghana Ghana Neela Vadana Ati Sundara
Megha Shyamala Madhava Murahara |Ghana Ghana...|
Mandasmitha Mukha Nayana Manohara
Govinda Gopala Natawara Giridhara |Megha Shyamala|
","Krishna is described as having a face of thick blue colour He is also described as one who has the colour of black clouds, who is very sweet in nature and one who killed the demon Mura He has a gentle smile on his face and beautiful eyes He is the Supreme Cowherd looking after his cows (mankind), He is the Supreme Dancer and Actor, the one who lifted the mountain of Govardhana for protecting the people of Gokula from the wrath of Indra
"
"Ghana Ghana Neela Yadu Nandana
Ghana Shyama Sundara Mana Mohana
Natawara Giridhara Gopalana
Murali Manohara Madhusudhana
","Description of Krishna as Nanda's foster son of the Yadu dynasty having thick blue colour Very attractive to the mind having beautiful colour of blue/black The Supreme Dancer and Actor, The One who lifted the mountain (Govardhana), The cowherd The One with the beautiful form with the flute and the slayer of the demon 'Madhu'
"
"Ghana Shyama Gopala Ghana Shyama Gopala
Mana Mohana Jaganmohana
Yadu Nandana Gopal |Ghana Shyama|
Gopala Gopala Shyama Gopala
Gopala Gopala Sai Gopala
","The Lord with dark blue complexion One, Gopala, the One who captivates the mind, The One who captivates the whole Universe, You are the little child in the Yadava clan; Oh Gopala, the enchanting blue coloured Gopala.
"
"Ghana Shyama Sundara
Bansidhara Prabhu Krishna Kanhaiya
Tum Hi Merey Ma Baap Bhaiyya |Ghana Shyama|
Devaki Tanaya Hey Nandalala
Deena Bandhava Dwarakanatha
Radha Hrudaya Nivasa Harey Krishna
Madhusudhana Muralidhara
Partheeshwara Sathya Sayeeshwara
","O beautiful Lord Krishna Kanhaiya with the flute and of blue colour, You only are my mother, father and brother O son of Devaki and the foster son of Nanda O relative of the downtrodden and orphans and the Lord of Dwaraka O Lord Krishna/Hari who wanders in the heart of Radha O slayer of the demon Madhu, with the flute on your lips O Sathya sayeeshwara the Lord of Parthi
"
"Giri Raja Tanaya Jaya Ma
Hey Durgati Nashini Ma |Giri Raja...|
Maha Jyothirmayi Shiva Shakthimayi
Asura Vinashini Ma
Jaya Devi Durge Jaya Ma |Hey Durgati|
","Victory to the daughter of the King of Mountains O Mother, the destroyer of our bad condition in the world The most effulgent and the embodiment of Shiva and Shakthi, The mother who is the destroyer of demons (all evils) Victory to the mother Durga.
"
"Giridhara Bala Gopala (Harey)
Govinda Govinda Gopala (Hey) |Giridhara Bala...|
Gopi Lola Gopala
Govardhanodhari Gopala
","Oh cowherd boy who danced with the Gopis and One who lifted the Govardhana.
"
"Giridhara Bala Hey Nandalala
Devaki Nandana Shyama Gopala |Giridhara...|
Keshava Madhava Shyama Gopala
Shyama Gopala Shyama Gopala |Keshava|
Bansidhara Hey Shyama (Sai) Gopala
","Krishna is extolled with different names as the One who lifted the mountain, The son of Devaki, The Lord of Radha, The One who danced with the Gopikas, The One with the flute and He is also our Sai Gopala
"
"Giridhara Bala Shyama Gopala
Eshwari Tanaya Sai Gopala
Gaana Vilola Murali Gopala
Govinda Madhava Goparipala (2)
","We chant the name of Shyama Gopala who is little Krishna lifted the mountain in his fingertips. He is also Sai Gopala son of Eshwaramba the enchanting flute player who loves music. He is Govinda protector of cow herds (people) and in whose chest revels Mother Lakshmi.
"
"Giridhara Gopala Gopala
Sai Gopala Sai Gopala |Giridhara...|
Shirdi Pureeshwara (Parthi Pureeshwara) Sai Shankara
Sai Shankara Sai Shankara
","Chant the divine names Gridhara Gopala, Sai Gopala the resident of Shirdi and Parthi. He is also Sai Shankara who also bestows auspiciousness.
"
"Giridhara Gopala Hey Giridhara Gopala Hey Giridhara Gopala
Meera Ke Prabhu Giridhara Naagara
Surdas Ke Shyama Manohara
Bhakthon Ke Sathya Sai Manohara
","Chant the name of Lord Gopala, One who lifted the mountain The Lord of Meera and Surdas and the beautiful Lord Sathya Sai the beloved of his devotees.
"
"Giridhara Gopala Muralidhara Harey
Govinda Gopala Damodara
Giridhara Gopala Muralidhara Harey |Govinda Gopala|
","Chant the name of the Lord Gopala, Giridhara, The One with the flute who is also called Damodara
"
"Giridhara Gopala Sai Giridhara Gopala
Parthi Pureeshwara Sai Gopala |Giridhara Gopala...|
Meera Ke Prabhu Giridhara Naagara
Paahi Maam Ghana Shyam O Shyama (2)
","O Lord Sai Gopala, the lifter of mountain, the Lord of Meera The Lord of Parthi kindly protect me.
"
"Giridhara Govinda Gopala Ghana Shyama Nandalala
Mana Mohana Madhusudhana Hey Madhava |Giridhara Govinda...|
Damodara Janardhana Muralidhara Mana Mohana
Namo Sai Narayanaya Namo Sathya Narayanaya
Namo Sai Narayanaya
","Chant the various names of Gopala, Govinda, Giridhara The beautiful son of Nanda with thick bluish colour, the slayer of the demon Madhu Damodara, Janardhana, Muralidhara, Salutations to the Lord Sai Narayana, Sathya Narayana.
"
"Giridhara Merey Gopala
Radhey Gopala Radhey (Sai) Gopala |Giridhara Merey...|
Nanda Kishora Maakhan Chora
Yashoda Bala Gopala |Radhey Gopala|
","Chant the name my Lord Sai Gopala the Giridhara The Lord of Radha The son of Nanda and Yashoda The One who steals the butter
"
"Giridhara Merey Shyama Gopal
Shyama Gopal Sai Gopal |Giridhara Merey...|
Govinda Govinda Gopi Gopal
Govardhanodhari Gokula Gopal
Shyama Gopal Sai Gopal |Giridhara Merey...|
Mukunda Murahara Mohana Gopal
Murali Manohara Madhava Gopal |Shyama Gopal|
","Chant the various names of My Lord Gopal, the Giridhara, The one who lifted Govardhana mountain, the cowherd of Gokula The enchanting Lord Mukunda, Madhava, with the flute, the slayer of Mura, the Lord Sai Gopal.
"
"Giridhara Muralidhara Sai Gopala
Radha Madhava Gopi Lola |Giridhara Muralidhara...|
Maakhan Chora Nanda Kishora
Madhusudhana Sai Mohana Krishna
Karunapaara Sai Avatara
","O Sai Gopala you are little Krishna who lifted the mountain, enchanting flute player, beloved of Gopis and Lord of Radha. You are the stealer of butter the beloved of Nanda, destroyer of Madhu Demon. You have descended in the form of Sai with reserve of compassion.
"
"Giridhara Naagara Kunja Vihari
Madhuvana Sanchari Parthi Vihari |Giridhara Naagara...|
Shyamala Sundara Mayura Mukutadhara
Pankaja Lochana Madhava Mohana
Madhuvana Sanchari Parthi Vihari (2)
","Chant the name of the Lord Giridhara who roams in the garden and in the forest of Madhu He also wanders around in Parthi He is very beautiful with the peacock feather as his crown and lotus eyes.
"
"Giridhari Giridhari Gopala
Gopala Sai Gopala |Giridhari...|
Goparipala Gopala
Gopala Sai Gopala |Goparipala.|
Govinda Govinda Gopala
","Chant the name of Lord Gopala, one who lifted the govardhana mountain the protector of the cows. Chant the name of the Lord Govinda and our Sai Gopala.
"
"Giridhari Giridhari Murali Shyam Murari
Radha Ramana Veda Bharana
Pavana Charana Karuna Bharana
","We chant your name Giridhari the enchanting flute player having dark blue complexion, beloved of Radha, embodiment of Vedas and kindness having divine lotus feet.
"
"Giridhari Giridhari Radhey Gopala Jaya Giridhari
(Aa)shritha Jana Vihari Giridhari
Meera Ke Nath Prabho Giridhari (Mayi)
","Victory to Giridhari (who lifted the mountain) the Lord of Radha. You are the refuge and delightful to your devotees and you are the Lord of Mother Meera.
"
"Giridhari Hey Nandalala
Yashoda Ke Bala Tribhuvana Pala
Jagata Uddhara Gokula Bala
Murali Lola Munijana Pala
Parthi Vihara Sai Gopala
","Oh Giridhari, the son of Nanda and Yashoda The protector and sustainer of all the three worlds The liberator of the world and the boy of Gokula The player of flute and the protector of the Saints and Rishis Oh Lord Sai Gopala who wanders in Parthi.
"
